Country,Code,Product,Amount
GERMANY,DEU,"H8 - DRUG FORMULATIONS, BIOLOGICALS",262
GHANA,GHA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",143
GRENADA,GRD,"H8 - DRUG FORMULATIONS, BIOLOGICALS",0
GUAM,GUM,"H8 - DRUG FORMULATIONS, BIOLOGICALS",0
GUATEMALA,GTM,"H8 - DRUG FORMULATIONS, BIOLOGICALS",59
GUINEA,GIN,"H8 - DRUG FORMULATIONS, BIOLOGICALS",35
GUINEA BISSAU,GNB,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3
GUYANA,GUY,"H8 - DRUG FORMULATIONS, BIOLOGICALS",16
HAITI,HTI,"H8 - DRUG FORMULATIONS, BIOLOGICALS",17
HONDURAS,HND,"H8 - DRUG FORMULATIONS, BIOLOGICALS",29
HUNGARY,HUN,"H8 - DRUG FORMULATIONS, BIOLOGICALS",54
IRAN,IRN,"H8 - DRUG FORMULATIONS, BIOLOGICALS",33
IRAQ,IRQ,"H8 - DRUG FORMULATIONS, BIOLOGICALS",86
JAMAICA,JAM,"H8 - DRUG FORMULATIONS, BIOLOGICALS",24
KAZAKHSTAN,KAZ,"H8 - DRUG FORMULATIONS, BIOLOGICALS",62
KENYA,KEN,"H8 - DRUG FORMULATIONS, BIOLOGICALS",241
KIRIBATI REP,KIR,"H8 - DRUG FORMULATIONS, BIOLOGICALS",0
KYRGHYZSTAN,KGZ,"H8 - DRUG FORMULATIONS, BIOLOGICALS",9
LAO PD RP,LAO,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3
LEBANON,LBN,"H8 - DRUG FORMULATIONS, BIOLOGICALS",15
LESOTHO,LSO,"H8 - DRUG FORMULATIONS, BIOLOGICALS",9
LIBERIA,LBR,"H8 - DRUG FORMULATIONS, BIOLOGICALS",17
LIBYA,LBY,"H8 - DRUG FORMULATIONS, BIOLOGICALS",14
LIECHTENSTEIN,LIE,"H8 - DRUG FORMULATIONS, BIOLOGICALS",0
LITHUANIA,LTU,"H8 - DRUG FORMULATIONS, BIOLOGICALS",14
MACAO,MAC,"H8 - DRUG FORMULATIONS, BIOLOGICALS",0
MACEDONIA,MKD,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3
MADAGASCAR,MDG,"H8 - DRUG FORMULATIONS, BIOLOGICALS",27
MALAWI,MWI,"H8 - DRUG FORMULATIONS, BIOLOGICALS",53
MALDIVES,MDV,"H8 - DRUG FORMULATIONS, BIOLOGICALS",21
MALI,MLI,"H8 - DRUG FORMULATIONS, BIOLOGICALS",37
MALTA,MLT,"H8 - DRUG FORMULATIONS, BIOLOGICALS",126
MARSHALL ISLAND,MHL,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1
MAURITANIA,MRT,"H8 - DRUG FORMULATIONS, BIOLOGICALS",9
MAURITIUS,MUS,"H8 - DRUG FORMULATIONS, BIOLOGICALS",43
MEXICO,MEX,"H8 - DRUG FORMULATIONS, BIOLOGICALS",150
MICRONESIA,FSM,"H8 - DRUG FORMULATIONS, BIOLOGICALS",0
MOLDOVA,MDA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",4
MONGOLIA,MNG,"H8 - DRUG FORMULATIONS, BIOLOGICALS",13
MONTSERRAT,MSR,"H8 - DRUG FORMULATIONS, BIOLOGICALS",0
MOROCCO,MAR,"H8 - DRUG FORMULATIONS, BIOLOGICALS",49
MOZAMBIQUE,MOZ,"H8 - DRUG FORMULATIONS, BIOLOGICALS",121
MYANMAR,MMR,"H8 - DRUG FORMULATIONS, BIOLOGICALS",300
NAMIBIA,NAM,"H8 - DRUG FORMULATIONS, BIOLOGICALS",27
NAURU RP,NRU,"H8 - DRUG FORMULATIONS, BIOLOGICALS",0
NEPAL,NPL,"H8 - DRUG FORMULATIONS, BIOLOGICALS",225
NETHERLAND,NLD,"H8 - DRUG FORMULATIONS, BIOLOGICALS",287
NEW ZEALAND,NZL,"H8 - DRUG FORMULATIONS, BIOLOGICALS",40
NICARAGUA,NIC,"H8 - DRUG FORMULATIONS, BIOLOGICALS",19
NIGER,NER,"H8 - DRUG FORMULATIONS, BIOLOGICALS",16
NIGERIA,NGA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",450
PAKISTAN IR,PAK,"H8 - DRUG FORMULATIONS, BIOLOGICALS",166
PANAMA REPUBLIC,PAN,"H8 - DRUG FORMULATIONS, BIOLOGICALS",17
PAPUA N GNA,PNG,"H8 - DRUG FORMULATIONS, BIOLOGICALS",14
PARAGUAY,PRY,"H8 - DRUG FORMULATIONS, BIOLOGICALS",16
PERU,PER,"H8 - DRUG FORMULATIONS, BIOLOGICALS",95
PHILIPPINES,PHL,"H8 - DRUG FORMULATIONS, BIOLOGICALS",277
POLAND,POL,"H8 - DRUG FORMULATIONS, BIOLOGICALS",66
RUSSIA,RUS,"H8 - DRUG FORMULATIONS, BIOLOGICALS",447
RWANDA,RWA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",29
SAMOA,WSM,"H8 - DRUG FORMULATIONS, BIOLOGICALS",0
SAN MARINO,SMR,"H8 - DRUG FORMULATIONS, BIOLOGICALS",0
SAO TOME,STP,"H8 - DRUG FORMULATIONS, BIOLOGICALS",0
SENEGAL,SEN,"H8 - DRUG FORMULATIONS, BIOLOGICALS",30
SERBIA,SRB,"H8 - DRUG FORMULATIONS, BIOLOGICALS",5
SEYCHELLES,SYC,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3
SIERRA LEONE,SLE,"H8 - DRUG FORMULATIONS, BIOLOGICALS",25
SLOVENIA,SVN,"H8 - DRUG FORMULATIONS, BIOLOGICALS",64
SOLOMON IS,SLB,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1
SOMALIA,SOM,"H8 - DRUG FORMULATIONS, BIOLOGICALS",25
SOUTH AFRICA,ZAF,"H8 - DRUG FORMULATIONS, BIOLOGICALS",494
SOUTH SUDAN,SSD,"H8 - DRUG FORMULATIONS, BIOLOGICALS",7
SRI LANKA DSR,LKA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",188
ST KITT N A,KNA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1
ST LUCIA,LCA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1
ST VINCENT,VCT,"H8 - DRUG FORMULATIONS, BIOLOGICALS",0
SUDAN,SDN,"H8 - DRUG FORMULATIONS, BIOLOGICALS",59
SURINAME,SUR,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1
SWAZILAND,SWZ,"H8 - DRUG FORMULATIONS, BIOLOGICALS",16
SYRIA,SYR,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3
TAJIKISTAN,TJK,"H8 - DRUG FORMULATIONS, BIOLOGICALS",21
TANZANIA REP,TZA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",200
THAILAND,THA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",133
TIMOR LESTE,TLS,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1
TOGO,TGO,"H8 - DRUG FORMULATIONS, BIOLOGICALS",11
TRINIDAD,TTO,"H8 - DRUG FORMULATIONS, BIOLOGICALS",11
TURKMENISTAN,TKM,"H8 - DRUG FORMULATIONS, BIOLOGICALS",16
TURKS C IS,TCA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",0
UNITED KINGDOM,GBR,"H8 - DRUG FORMULATIONS, BIOLOGICALS",559
UNITED STATES OF AMERICA,USA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",5811
UGANDA,UGA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",164
UKRAINE,UKR,"H8 - DRUG FORMULATIONS, BIOLOGICALS",131
URUGUAY,URY,"H8 - DRUG FORMULATIONS, BIOLOGICALS",5
UZBEKISTAN,UZB,"H8 - DRUG FORMULATIONS, BIOLOGICALS",122
VANUATU REP,VUT,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1
VENEZUELA,VEN,"H8 - DRUG FORMULATIONS, BIOLOGICALS",91
YEMEN REPUBLC,YEM,"H8 - DRUG FORMULATIONS, BIOLOGICALS",65
ZAMBIA,ZMB,"H8 - DRUG FORMULATIONS, BIOLOGICALS",119
ZIMBABWE,ZWE,"H8 - DRUG FORMULATIONS, BIOLOGICALS",113
ARGENTINA,ARG,H9 - AGRO CHEMICALS,107
AUSTRALIA,AUS,H9 - AGRO CHEMICALS,114
BELIZE,BLZ,H9 - AGRO CHEMICALS,1
BOLIVIA,BOL,H9 - AGRO CHEMICALS,2
BRAZIL,BRA,H9 - AGRO CHEMICALS,1157
CAMBODIA,KHM,H9 - AGRO CHEMICALS,5
CAMEROON,CMR,H9 - AGRO CHEMICALS,7
CHAD,TCD,H9 - AGRO CHEMICALS,2
COLOMBIA,COL,H9 - AGRO CHEMICALS,53
COSTA RICA,CRI,H9 - AGRO CHEMICALS,24
COTE D' IVOIRE,CIV,H9 - AGRO CHEMICALS,25
ECUADOR,ECU,H9 - AGRO CHEMICALS,9
ETHIOPIA,ETH,H9 - AGRO CHEMICALS,28
GUATEMALA,GTM,H9 - AGRO CHEMICALS,14
JAPAN,JPN,H9 - AGRO CHEMICALS,163
KYRGHYZSTAN,KGZ,H9 - AGRO CHEMICALS,1
LATVIA,LVA,H9 - AGRO CHEMICALS,11
MALAWI,MWI,H9 - AGRO CHEMICALS,3
PARAGUAY,PRY,H9 - AGRO CHEMICALS,27
RWANDA,RWA,H9 - AGRO CHEMICALS,7
SUDAN,SDN,H9 - AGRO CHEMICALS,14
UGANDA,UGA,H9 - AGRO CHEMICALS,21
UKRAINE,UKR,H9 - AGRO CHEMICALS,19
URUGUAY,URY,H9 - AGRO CHEMICALS,8
VENEZUELA,VEN,H9 - AGRO CHEMICALS,2
ANGUILLA,AIA,I1 - SURGICALS,0
CAYMAN IS,CYM,I1 - SURGICALS,1
ERITREA,ERI,I1 - SURGICALS,1
GRENADA,GRD,I1 - SURGICALS,0
LESOTHO,LSO,I1 - SURGICALS,0
MOLDOVA,MDA,I1 - SURGICALS,0
SAMOA,WSM,I1 - SURGICALS,0
SAO TOME,STP,I1 - SURGICALS,0
TIMOR LESTE,TLS,I1 - SURGICALS,0
TURKS C IS,TCA,I1 - SURGICALS,0
CUBA,CUB,I2 - INORGANIC CHEMICALS,0
ERITREA,ERI,I2 - INORGANIC CHEMICALS,0
FR GUIANA,GUF,I2 - INORGANIC CHEMICALS,0
GUAM,GUM,I2 - INORGANIC CHEMICALS,0
MOROCCO,MAR,I2 - INORGANIC CHEMICALS,26
NAMIBIA,NAM,I2 - INORGANIC CHEMICALS,2
SLOVAK REP,SVK,I2 - INORGANIC CHEMICALS,5
ARGENTINA,ARG,I3 - ORGANIC CHEMICALS,27
BELARUS,BLR,I3 - ORGANIC CHEMICALS,1
BELGIUM,BEL,I3 - ORGANIC CHEMICALS,524
BRAZIL,BRA,I3 - ORGANIC CHEMICALS,235
CHINA P RP,CHN,I3 - ORGANIC CHEMICALS,1347
CYPRUS,CYP,I3 - ORGANIC CHEMICALS,2
EGYPT A RP,EGY,I3 - ORGANIC CHEMICALS,97
ESTONIA,EST,I3 - ORGANIC CHEMICALS,2
FINLAND,FIN,I3 - ORGANIC CHEMICALS,8
GERMANY,DEU,I3 - ORGANIC CHEMICALS,326
INDONESIA,IDN,I3 - ORGANIC CHEMICALS,359
IRAN,IRN,I3 - ORGANIC CHEMICALS,32
IRELAND,IRL,I3 - ORGANIC CHEMICALS,29
ITALY,ITA,I3 - ORGANIC CHEMICALS,162
JAPAN,JPN,I3 - ORGANIC CHEMICALS,244
KOREA DP RP,PRK,I3 - ORGANIC CHEMICALS,0
KOREA RP,KOR,I3 - ORGANIC CHEMICALS,218
KUWAIT,KWT,I3 - ORGANIC CHEMICALS,81
MACEDONIA,MKD,I3 - ORGANIC CHEMICALS,2
MALAYSIA,MYS,I3 - ORGANIC CHEMICALS,419
MALTA,MLT,I3 - ORGANIC CHEMICALS,5
MEXICO,MEX,I3 - ORGANIC CHEMICALS,181
NETHERLAND,NLD,I3 - ORGANIC CHEMICALS,481
NORWAY,NOR,I3 - ORGANIC CHEMICALS,12
OMAN,OMN,I3 - ORGANIC CHEMICALS,60
PAKISTAN IR,PAK,I3 - ORGANIC CHEMICALS,20
PORTUGAL,PRT,I3 - ORGANIC CHEMICALS,89
PUERTO RICO,PRI,I3 - ORGANIC CHEMICALS,11
QATAR,QAT,I3 - ORGANIC CHEMICALS,109
SAUDI ARAB,SAU,I3 - ORGANIC CHEMICALS,915
SERBIA,SRB,I3 - ORGANIC CHEMICALS,5
SINGAPORE,SGP,I3 - ORGANIC CHEMICALS,212
SLOVENIA,SVN,I3 - ORGANIC CHEMICALS,23
SPAIN,ESP,I3 - ORGANIC CHEMICALS,303
SWAZILAND,SWZ,I3 - ORGANIC CHEMICALS,1
SWITZERLAND,CHE,I3 - ORGANIC CHEMICALS,171
TAIWAN,TWN,I3 - ORGANIC CHEMICALS,195
TURKEY,TUR,I3 - ORGANIC CHEMICALS,195
U ARAB EMTS,ARE,I3 - ORGANIC CHEMICALS,437
URUGUAY,URY,I3 - ORGANIC CHEMICALS,6
BELARUS,BLR,I4 - OTHER MISCELLAENIOUS CHEMICALS,2
BULGARIA,BGR,I4 - OTHER MISCELLAENIOUS CHEMICALS,12
ESTONIA,EST,I4 - OTHER MISCELLAENIOUS CHEMICALS,6
IRELAND,IRL,I4 - OTHER MISCELLAENIOUS CHEMICALS,23
MACAO,MAC,I4 - OTHER MISCELLAENIOUS CHEMICALS,0
MACEDONIA,MKD,I4 - OTHER MISCELLAENIOUS CHEMICALS,0
MALTA,MLT,I4 - OTHER MISCELLAENIOUS CHEMICALS,1
NORWAY,NOR,I4 - OTHER MISCELLAENIOUS CHEMICALS,56
PAKISTAN IR,PAK,I4 - OTHER MISCELLAENIOUS CHEMICALS,7
SURINAME,SUR,I4 - OTHER MISCELLAENIOUS CHEMICALS,1
SWITZERLAND,CHE,I4 - OTHER MISCELLAENIOUS CHEMICALS,53
CHAD,TCD,I5 - COSMETICS AND TOILETRIES,2
COMOROS,COM,I5 - COSMETICS AND TOILETRIES,1
EQUTL GUINEA,GNQ,I5 - COSMETICS AND TOILETRIES,0
FIJI IS,FJI,I5 - COSMETICS AND TOILETRIES,2
GUAM,GUM,I5 - COSMETICS AND TOILETRIES,0
HAITI,HTI,I5 - COSMETICS AND TOILETRIES,4
HONDURAS,HND,I5 - COSMETICS AND TOILETRIES,6
MARSHALL ISLAND,MHL,I5 - COSMETICS AND TOILETRIES,0
MONGOLIA,MNG,I5 - COSMETICS AND TOILETRIES,1
MYANMAR,MMR,I5 - COSMETICS AND TOILETRIES,10
NORFOLK IS,NFK,I5 - COSMETICS AND TOILETRIES,0
SURINAME,SUR,I5 - COSMETICS AND TOILETRIES,1
SWAZILAND,SWZ,I5 - COSMETICS AND TOILETRIES,0
SYRIA,SYR,I5 - COSMETICS AND TOILETRIES,3
IRAN,IRN,I6 - ESSENTIAL OILS,23
ALGERIA,DZA,I7 - RESIDUL CHEMICL AND ALLED PROD,21
ARGENTINA,ARG,I7 - RESIDUL CHEMICL AND ALLED PROD,32
AUSTRIA,AUT,I7 - RESIDUL CHEMICL AND ALLED PROD,13
BELARUS,BLR,I7 - RESIDUL CHEMICL AND ALLED PROD,3
BELGIUM,BEL,I7 - RESIDUL CHEMICL AND ALLED PROD,168
BOSNIA-HRZGOVIN,BIH,I7 - RESIDUL CHEMICL AND ALLED PROD,0
BOTSWANA,BWA,I7 - RESIDUL CHEMICL AND ALLED PROD,1
BRAZIL,BRA,I7 - RESIDUL CHEMICL AND ALLED PROD,176
BRUNEI,BRN,I7 - RESIDUL CHEMICL AND ALLED PROD,1
BULGARIA,BGR,I7 - RESIDUL CHEMICL AND ALLED PROD,22
CAMEROON,CMR,I7 - RESIDUL CHEMICL AND ALLED PROD,7
CANADA,CAN,I7 - RESIDUL CHEMICL AND ALLED PROD,166
COSTA RICA,CRI,I7 - RESIDUL CHEMICL AND ALLED PROD,4
CROATIA,HRV,I7 - RESIDUL CHEMICL AND ALLED PROD,22
CYPRUS,CYP,I7 - RESIDUL CHEMICL AND ALLED PROD,6
CZECH REPUBLIC,CZE,I7 - RESIDUL CHEMICL AND ALLED PROD,15
EGYPT A RP,EGY,I7 - RESIDUL CHEMICL AND ALLED PROD,104
ESTONIA,EST,I7 - RESIDUL CHEMICL AND ALLED PROD,3
FR GUIANA,GUF,I7 - RESIDUL CHEMICL AND ALLED PROD,0
GABON,GAB,I7 - RESIDUL CHEMICL AND ALLED PROD,5
GERMANY,DEU,I7 - RESIDUL CHEMICL AND ALLED PROD,286
GREECE,GRC,I7 - RESIDUL CHEMICL AND ALLED PROD,33
HUNGARY,HUN,I7 - RESIDUL CHEMICL AND ALLED PROD,30
ICELAND,ISL,I7 - RESIDUL CHEMICL AND ALLED PROD,2
IRAN,IRN,I7 - RESIDUL CHEMICL AND ALLED PROD,28
IRELAND,IRL,I7 - RESIDUL CHEMICL AND ALLED PROD,61
ISRAEL,ISR,I7 - RESIDUL CHEMICL AND ALLED PROD,65
ITALY,ITA,I7 - RESIDUL CHEMICL AND ALLED PROD,165
JAPAN,JPN,I7 - RESIDUL CHEMICL AND ALLED PROD,250
KAZAKHSTAN,KAZ,I7 - RESIDUL CHEMICL AND ALLED PROD,2
KOREA RP,KOR,I7 - RESIDUL CHEMICL AND ALLED PROD,158
LEBANON,LBN,I7 - RESIDUL CHEMICL AND ALLED PROD,9
MACEDONIA,MKD,I7 - RESIDUL CHEMICL AND ALLED PROD,1
MALTA,MLT,I7 - RESIDUL CHEMICL AND ALLED PROD,7
MOLDOVA,MDA,I7 - RESIDUL CHEMICL AND ALLED PROD,0
NETHERLAND,NLD,I7 - RESIDUL CHEMICL AND ALLED PROD,305
PAKISTAN IR,PAK,I7 - RESIDUL CHEMICL AND ALLED PROD,43
PARAGUAY,PRY,I7 - RESIDUL CHEMICL AND ALLED PROD,6
PUERTO RICO,PRI,I7 - RESIDUL CHEMICL AND ALLED PROD,122
RUSSIA,RUS,I7 - RESIDUL CHEMICL AND ALLED PROD,92
SAN MARINO,SMR,I7 - RESIDUL CHEMICL AND ALLED PROD,0
SERBIA,SRB,I7 - RESIDUL CHEMICL AND ALLED PROD,8
SINGAPORE,SGP,I7 - RESIDUL CHEMICL AND ALLED PROD,131
SLOVAK REP,SVK,I7 - RESIDUL CHEMICL AND ALLED PROD,4
SLOVENIA,SVN,I7 - RESIDUL CHEMICL AND ALLED PROD,59
SPAIN,ESP,I7 - RESIDUL CHEMICL AND ALLED PROD,151
SWAZILAND,SWZ,I7 - RESIDUL CHEMICL AND ALLED PROD,1
SWITZERLAND,CHE,I7 - RESIDUL CHEMICL AND ALLED PROD,238
TAIWAN,TWN,I7 - RESIDUL CHEMICL AND ALLED PROD,71
THAILAND,THA,I7 - RESIDUL CHEMICL AND ALLED PROD,118
URUGUAY,URY,I7 - RESIDUL CHEMICL AND ALLED PROD,6
VENEZUELA,VEN,I7 - RESIDUL CHEMICL AND ALLED PROD,2
AFGHANISTAN,AFG,I8 - AUTO TYRES AND TUBES,12
BELIZE,BLZ,I8 - AUTO TYRES AND TUBES,0
BOLIVIA,BOL,I8 - AUTO TYRES AND TUBES,3
BOSNIA-HRZGOVIN,BIH,I8 - AUTO TYRES AND TUBES,1
BOTSWANA,BWA,I8 - AUTO TYRES AND TUBES,1
BULGARIA,BGR,I8 - AUTO TYRES AND TUBES,8
CYPRUS,CYP,I8 - AUTO TYRES AND TUBES,2
ERITREA,ERI,I8 - AUTO TYRES AND TUBES,0
ESTONIA,EST,I8 - AUTO TYRES AND TUBES,2
FINLAND,FIN,I8 - AUTO TYRES AND TUBES,15
GUAM,GUM,I8 - AUTO TYRES AND TUBES,0
HAITI,HTI,I8 - AUTO TYRES AND TUBES,4
ICELAND,ISL,I8 - AUTO TYRES AND TUBES,0
IRELAND,IRL,I8 - AUTO TYRES AND TUBES,29
LATVIA,LVA,I8 - AUTO TYRES AND TUBES,31
MARTINIQUE,MTQ,I8 - AUTO TYRES AND TUBES,0
MOLDOVA,MDA,I8 - AUTO TYRES AND TUBES,0
NICARAGUA,NIC,I8 - AUTO TYRES AND TUBES,3
PERU,PER,I8 - AUTO TYRES AND TUBES,19
PHILIPPINES,PHL,I8 - AUTO TYRES AND TUBES,68
PORTUGAL,PRT,I8 - AUTO TYRES AND TUBES,33
PUERTO RICO,PRI,I8 - AUTO TYRES AND TUBES,3
REUNION,REU,I8 - AUTO TYRES AND TUBES,1
ROMANIA,ROU,I8 - AUTO TYRES AND TUBES,15
SLOVAK REP,SVK,I8 - AUTO TYRES AND TUBES,18
SOMALIA,SOM,I8 - AUTO TYRES AND TUBES,8
SWAZILAND,SWZ,I8 - AUTO TYRES AND TUBES,0
UGANDA,UGA,I8 - AUTO TYRES AND TUBES,12
UKRAINE,UKR,I8 - AUTO TYRES AND TUBES,16
ZIMBABWE,ZWE,I8 - AUTO TYRES AND TUBES,2
ALBANIA,ALB,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,1
BURKINA FASO,BFA,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,6
BURUNDI,BDI,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,1
ERITREA,ERI,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,1
GUAM,GUM,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,0
GUYANA,GUY,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,2
KIRIBATI REP,KIR,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,0
LESOTHO,LSO,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,0
MALAWI,MWI,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,4
MALI,MLI,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,6
MONGOLIA,MNG,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,0
PAPUA N GNA,PNG,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,1
SAN MARINO,SMR,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,0
SAO TOME,STP,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,0
SERBIA,SRB,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,2
SEYCHELLES,SYC,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,1
TIMOR LESTE,TLS,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,0
ANGUILLA,AIA,J1 - FOOTWEAR OF RUBBER/CANVAS ETC.,0
CHAD,TCD,J1 - FOOTWEAR OF RUBBER/CANVAS ETC.,2
COMOROS,COM,J1 - FOOTWEAR OF RUBBER/CANVAS ETC.,0
KIRIBATI REP,KIR,J1 - FOOTWEAR OF RUBBER/CANVAS ETC.,0
MICRONESIA,FSM,J1 - FOOTWEAR OF RUBBER/CANVAS ETC.,0
MONACO,MCO,J1 - FOOTWEAR OF RUBBER/CANVAS ETC.,0
PAPUA N GNA,PNG,J1 - FOOTWEAR OF RUBBER/CANVAS ETC.,3
SOMALIA,SOM,J1 - FOOTWEAR OF RUBBER/CANVAS ETC.,22
SOUTH SUDAN,SSD,J1 - FOOTWEAR OF RUBBER/CANVAS ETC.,2
MAYOTTE,MYT,"J2 - PAINT, VARNISH AND ALLID PRODC",0
MOLDOVA,MDA,"J2 - PAINT, VARNISH AND ALLID PRODC",0
N. MARIANA IS.,MNP,"J2 - PAINT, VARNISH AND ALLID PRODC",0
TONGA,TON,"J2 - PAINT, VARNISH AND ALLID PRODC",0
CAYMAN IS,CYM,"J4 - CMNT, CLINKR AND ASBSTOS CMNT",0
ALBANIA,ALB,J5 - CERAMICS AND ALLIED PRODUCTS,17
ARMENIA,ARM,J5 - CERAMICS AND ALLIED PRODUCTS,1
BOSNIA-HRZGOVIN,BIH,J5 - CERAMICS AND ALLIED PRODUCTS,1
CAPE VERDE IS,CPV,J5 - CERAMICS AND ALLIED PRODUCTS,0
COSTA RICA,CRI,J5 - CERAMICS AND ALLIED PRODUCTS,3
CROATIA,HRV,J5 - CERAMICS AND ALLIED PRODUCTS,10
DOMINICA,DOM,J5 - CERAMICS AND ALLIED PRODUCTS,0
FR GUIANA,GUF,J5 - CERAMICS AND ALLIED PRODUCTS,0
GAMBIA,GMB,J5 - CERAMICS AND ALLIED PRODUCTS,5
GUADELOUPE,GLP,J5 - CERAMICS AND ALLIED PRODUCTS,0
GUINEA,GIN,J5 - CERAMICS AND ALLIED PRODUCTS,12
GUINEA BISSAU,GNB,J5 - CERAMICS AND ALLIED PRODUCTS,0
GUYANA,GUY,J5 - CERAMICS AND ALLIED PRODUCTS,1
IRAQ,IRQ,J5 - CERAMICS AND ALLIED PRODUCTS,88
JAMAICA,JAM,J5 - CERAMICS AND ALLIED PRODUCTS,2
JORDAN,JOR,J5 - CERAMICS AND ALLIED PRODUCTS,47
KAZAKHSTAN,KAZ,J5 - CERAMICS AND ALLIED PRODUCTS,4
KUWAIT,KWT,J5 - CERAMICS AND ALLIED PRODUCTS,66
LIBERIA,LBR,J5 - CERAMICS AND ALLIED PRODUCTS,7
LIBYA,LBY,J5 - CERAMICS AND ALLIED PRODUCTS,32
MACEDONIA,MKD,J5 - CERAMICS AND ALLIED PRODUCTS,0
MADAGASCAR,MDG,J5 - CERAMICS AND ALLIED PRODUCTS,5
MALTA,MLT,J5 - CERAMICS AND ALLIED PRODUCTS,2
MARTINIQUE,MTQ,J5 - CERAMICS AND ALLIED PRODUCTS,0
MAURITANIA,MRT,J5 - CERAMICS AND ALLIED PRODUCTS,4
MAYOTTE,MYT,J5 - CERAMICS AND ALLIED PRODUCTS,1
MICRONESIA,FSM,J5 - CERAMICS AND ALLIED PRODUCTS,0
MOLDOVA,MDA,J5 - CERAMICS AND ALLIED PRODUCTS,0
MONTENEGRO,MNE,J5 - CERAMICS AND ALLIED PRODUCTS,0
MONTSERRAT,MSR,J5 - CERAMICS AND ALLIED PRODUCTS,0
NEW CALEDONIA,NCL,J5 - CERAMICS AND ALLIED PRODUCTS,0
OMAN,OMN,J5 - CERAMICS AND ALLIED PRODUCTS,56
POLAND,POL,J5 - CERAMICS AND ALLIED PRODUCTS,52
QATAR,QAT,J5 - CERAMICS AND ALLIED PRODUCTS,36
ROMANIA,ROU,J5 - CERAMICS AND ALLIED PRODUCTS,24
SAMOA,WSM,J5 - CERAMICS AND ALLIED PRODUCTS,0
SEYCHELLES,SYC,J5 - CERAMICS AND ALLIED PRODUCTS,1
SIERRA LEONE,SLE,J5 - CERAMICS AND ALLIED PRODUCTS,7
SOMALIA,SOM,J5 - CERAMICS AND ALLIED PRODUCTS,15
TAIWAN,TWN,J5 - CERAMICS AND ALLIED PRODUCTS,35
UKRAINE,UKR,J5 - CERAMICS AND ALLIED PRODUCTS,13
VANUATU REP,VUT,J5 - CERAMICS AND ALLIED PRODUCTS,0
VENEZUELA,VEN,J5 - CERAMICS AND ALLIED PRODUCTS,2
YEMEN REPUBLC,YEM,J5 - CERAMICS AND ALLIED PRODUCTS,23
CUBA,CUB,J6 - GLASS AND GLASSWARE,1
LIECHTENSTEIN,LIE,J6 - GLASS AND GLASSWARE,1
RWANDA,RWA,J6 - GLASS AND GLASSWARE,4
BURUNDI,BDI,"J7 - BOOKS, PUBLICATIONS AND PRNTNG",2
ST VINCENT,VCT,"J7 - BOOKS, PUBLICATIONS AND PRNTNG",0
VANUATU REP,VUT,"J7 - BOOKS, PUBLICATIONS AND PRNTNG",0
ALBANIA,ALB,"J9 - PAPER, PAPER BOARD AND PRODUCT",2
ANGOLA,AGO,"J9 - PAPER, PAPER BOARD AND PRODUCT",13
ARMENIA,ARM,"J9 - PAPER, PAPER BOARD AND PRODUCT",0
BERMUDA,BMU,"J9 - PAPER, PAPER BOARD AND PRODUCT",0
